iter	RMSE
0	41.04044853
1	39.45012814
2	37.99434173
3	36.6680058
4	35.48279121
5	34.32574609
6	33.33393393
7	32.43949919
8	31.62125903
9	30.85244387
10	30.15187602
11	29.52630611
12	28.94400549
13	28.46048949
14	28.00331076
15	27.55660445
16	27.16343363
17	26.81080792
18	26.50946437
19	26.23796521
20	26.00249152
21	25.7743141
22	25.59321719
23	25.4128384
24	25.24052372
25	25.09646843
26	24.95819104
27	24.82919774
28	24.70430365
29	24.60083413
30	24.52068086
31	24.44330936
32	24.36952894
33	24.30406288
34	24.24026939
35	24.1821991
36	24.11634068
37	24.06997502
38	24.00897283
39	23.97198312
40	23.93012218
41	23.88794338
42	23.85679362
43	23.82051466
44	23.78222431
45	23.75210068
46	23.72358175
47	23.70350796
48	23.68283823
49	23.66233405
50	23.64354456
51	23.6041686
52	23.58201086
53	23.55970637
54	23.53565117
55	23.51625638
56	23.50003065
57	23.48801989
58	23.47537453
59	23.46178664
60	23.45195893
61	23.43703321
62	23.42672166
63	23.40974538
64	23.3975275
65	23.39061434
66	23.36998508
67	23.35419769
68	23.34560444
69	23.33438376
70	23.32415826
71	23.30721639
72	23.29858958
73	23.28700966
74	23.27964987
75	23.26847938
76	23.26031168
77	23.24287288
78	23.23403338
79	23.22840368
80	23.21847625
81	23.21027237
82	23.19705158
83	23.19130399
84	23.18403417
85	23.17652013
86	23.165446
87	23.16048037
88	23.15448548
89	23.14852765
90	23.14238283
91	23.13632901
92	23.12936456
93	23.12035404
94	23.1160438
95	23.10906752
96	23.10047132
97	23.08777059
98	23.07866057
99	23.07152567
100	23.06327391
101	23.05286329
102	23.04418089
103	23.03826092
104	23.02820388
105	23.02344039
106	23.01884308
107	23.01225635
108	23.00563625
109	22.99874791
110	22.98271458
111	22.97190979
112	22.96569601
113	22.95224676
114	22.94302905
115	22.93692227
116	22.93245398
117	22.92994534
118	22.92349545
119	22.91355914
120	22.90537371
121	22.90216333
122	22.89493648
123	22.88520001
124	22.88229729
125	22.87310799
126	22.86370486
127	22.86011609
128	22.84501651
129	22.83855596
130	22.83223084
131	22.82625609
132	22.82206244
133	22.81583762
134	22.80942081
135	22.80694166
136	22.80547692
137	22.80237801
138	22.79955325
139	22.79706214
140	22.78804032
141	22.77882662
142	22.77477306
143	22.7646257
144	22.75693884
145	22.74516024
146	22.73598199
147	22.73109723
148	22.72766054
149	22.7177844
150	22.7098986
151	22.69759272
152	22.69558556
153	22.69284815
154	22.67870463
155	22.67147187
156	22.66699943
157	22.66450685
158	22.65774263
159	22.65082535
160	22.63834893
161	22.63664854
162	22.62832399
163	22.61386131
164	22.60319289
165	22.58976448
166	22.58202042
167	22.57887002
168	22.57194421
169	22.56110808
170	22.55394674
171	22.55184771
172	22.54449897
173	22.53805518
174	22.53391294
175	22.52881566
176	22.51935693
177	22.51084222
178	22.50896636
179	22.50440325
180	22.49671158
181	22.48713491
182	22.48273275
183	22.47472642
184	22.47066072
185	22.46366542
186	22.45688828
187	22.45371537
188	22.44825562
189	22.44126985
190	22.43060245
191	22.42538421
