iter	Passed	Remaining
0	22	4335
1	42	4062
2	64	4040
3	84	3991
4	103	3862
5	120	3731
6	140	3716
7	160	3692
8	181	3686
9	198	3607
10	214	3536
11	231	3472
12	248	3418
13	266	3390
14	282	3336
15	298	3287
16	314	3240
17	330	3195
18	347	3161
19	363	3121
20	378	3083
21	393	3042
22	408	3003
23	424	2972
24	441	2949
25	456	2913
26	471	2883
27	486	2850
28	502	2822
29	517	2792
30	532	2766
31	549	2747
32	565	2723
33	580	2697
34	596	2673
35	611	2649
36	627	2629
37	642	2605
38	658	2584
39	676	2571
40	693	2554
41	710	2538
42	727	2521
43	745	2506
44	762	2491
45	782	2482
46	800	2470
47	818	2455
48	835	2438
49	852	2419
50	871	2409
51	890	2398
52	907	2381
53	927	2370
54	944	2353
55	963	2339
56	980	2321
57	999	2308
58	1019	2297
59	1035	2278
60	1051	2259
61	1068	2239
62	1087	2225
63	1103	2207
64	1121	2191
65	1138	2172
66	1155	2155
67	1174	2141
68	1191	2123
69	1208	2106
70	1227	2091
71	1243	2072
72	1261	2056
73	1278	2038
74	1295	2020
75	1311	2002
76	1329	1986
77	1346	1967
78	1362	1949
79	1379	1931
80	1399	1918
81	1417	1900
82	1433	1882
83	1449	1863
84	1465	1844
85	1481	1825
86	1499	1810
87	1516	1792
88	1532	1773
89	1548	1754
90	1564	1736
91	1582	1720
92	1599	1702
93	1616	1685
94	1633	1668
95	1650	1650
96	1666	1632
97	1685	1616
98	1702	1599
99	1718	1581
100	1734	1562
101	1752	1546
102	1768	1528
103	1785	1510
104	1803	1494
105	1822	1478
106	1838	1460
107	1856	1443
108	1874	1427
109	1892	1410
110	1908	1392
111	1926	1376
112	1942	1358
113	1960	1341
114	1978	1324
115	1997	1308
116	2013	1290
117	2031	1274
118	2049	1257
119	2066	1239
120	2083	1222
121	2101	1205
122	2118	1188
123	2136	1171
124	2153	1154
125	2171	1137
126	2189	1120
127	2205	1102
128	2223	1085
129	2239	1068
130	2256	1050
131	2272	1032
132	2291	1016
133	2307	998
134	2324	981
135	2340	963
136	2352	944
137	2369	927
138	2386	909
139	2409	894
140	2425	877
141	2442	860
142	2459	842
143	2477	825
144	2493	808
145	2512	791
146	2528	773
147	2546	757
148	2563	739
149	2579	722
150	2595	704
151	2612	687
152	2628	670
153	2641	651
154	2658	634
155	2677	617
156	2694	600
157	2711	583
158	2728	566
159	2747	549
160	2765	532
161	2782	515
162	2801	498
163	2820	481
164	2838	464
165	2857	447
166	2876	430
167	2893	413
168	2910	396
169	2927	378
170	2945	361
171	2966	344
172	2982	327
173	2998	310
174	3015	292
175	3033	275
176	3051	258
177	3067	241
178	3083	223
179	3100	206
180	3117	189
181	3133	172
182	3152	155
183	3168	137
184	3186	120
185	3204	103
186	3221	86
187	3240	68
188	3257	51
189	3275	34
190	3296	17
191	3314	0
